index,x,y
truck3,338.57581338244324,42.230383973288816
truck7,113.0656844689994,131.03839732888147
truck12,224.57826887661142,93.7762938230384
truck13,102.50460405156538,208.35726210350586
truck14,150.65070595457337,222.64106844741238
truck16,298.50583179864947,205.56260434056762
truck17,310.62001227747083,222.02003338898166
truck19,431.1405770411296,207.11519198664442
truck20,469.9680785758134,206.80467445742906
truck21,438.59545733578886,147.80634390651085
truck27,173.94720687538367,340.3272120200334
truck28,224.88888888888889,335.97996661101837
truck30,332.05279312461636,352.12687813021705
truck31,397.90423572744015,353.05843071786313
truck34,337.9545733578883,395.28881469115197
truck35,288.8766114180479,385.35225375626044
truck36,303.16513198281154,414.85141903171956
truck37,209.35788827501537,398.3939899833055
truck41,217.4340085942296,477.8864774624374
truck42,276.1411909146716,476.95492487479135
truck43,290.42971147943524,506.7646076794658
truck50,60.881522406384285,535.9532554257096
truck52,241.9729895641498,281.94991652754595
truck53,209.35788827501537,280.0868113522538
truck44,315.5899324739104,295.92320534223705
truck47,296.3314917127072,323.559265442404
truck56,404.11663597298957,294.3706176961603
