index,name,x,y,demand
demand3,Gaussian Mixture Shakes & Smoothies,281.11111111111114,63.34557595993323,43
demand5,Poisson Distribution Fish Market,428.96623695518724,48.751252086811355,56
demand7,The Euclidean Space,393.5555555555556,98.43405676126879,14
demand8,The Analytic Center,344.78821362799266,115.20200333889817,41
demand9,Lift and Project Gym,454.7476979742173,181.03171953255426,38
demand10,L'Hôpital,411.57151626764886,143.45909849749583,47
demand11,Reinforcement Learning Puppy Training,284.83855125844076,188.79465776293824,9
demand14,George's Basic Diet Solutions,213.70656844689995,160.53756260434056,32
demand18,Callback Cat Café,187.6144874155924,222.64106844741238,20
demand19,Toy Problems 'ᴙ' Us,152.2038060159607,245.30884808013357,24
demand21,Gurobi Polytope,295.71025168815225,240.96160267111856,22
demand22,Vertex Tower,342.92449355432785,231.3355592654424,17
demand23,Anna Konda's Pet Shop,395.4192756292204,220.77796327212022,35
demand24,Presolve: Prenuptial Agreements,429.2768569674647,244.68781302170285,5
demand27,Bixby Hall,279.55801104972375,298.40734557595994,35
demand28,RINS Laundromat,169.90914671577656,306.17028380634395,48
demand29,IIS Tower,113.68692449355433,291.8864774624374,27
demand30,Knapsack News,52.494782074892576,304.61769616026714,9
demand31,Edgeworth's Newsvendors,72.68508287292818,359.889816360601,13
demand32,Convex Amphitheater,190.41006752608965,367.652754590985,23
demand33,Interior Point Decorating,267.1332105586249,362.0634390651085,18
demand41,K-Fold Parking Validation,233.89686924493554,480.68113522537567,37
demand42,MIP Manor,159.9693063228975,512.974958263773,46
demand43,Bag of Words Designer Handbags,87.90546347452425,481.9232053422371,18
demand44,Bias & Variance Courthouse,193.82688766114182,446.52420701168614,34
demand46,Lagrange Boulangerie,104.98956414978515,419.1986644407346,25
demand50,Gum-ory Dental Services,200.66052793124618,262.07679465776295,27
demand51,Farkas' Lemma-nade,391.38121546961327,186,8
demand53,Gu Library,278.62615101289134,105.57595993322204,18
