index,name,x,y,demand
demand9,Lift and Project Gym,454.7476979742173,181.03171953255426,7
demand10,L'Hôpital,411.57151626764886,143.45909849749583,44
demand13,Linear Regression Psychology Services,315.2793124616329,163.64273789649417,7
demand20,Complex Complex,239.48802946593003,246.86143572621037,22
demand21,Gurobi Polytope,295.71025168815225,240.96160267111856,8
demand22,Vertex Tower,342.92449355432785,231.3355592654424,10
demand23,Anna Konda's Pet Shop,395.4192756292204,220.77796327212022,50
demand25,Fourier Transform Towers,460.96009821976673,302.13355592654426,31
demand28,RINS Laundromat,169.90914671577656,306.17028380634395,7
demand30,Knapsack News,52.494782074892576,304.61769616026714,28
demand31,Edgeworth's Newsvendors,72.68508287292818,359.889816360601,27
demand32,Convex Amphitheater,190.41006752608965,367.652754590985,51
demand33,Interior Point Decorating,267.1332105586249,362.0634390651085,11
demand34,Scheduling Station,359.3873542050338,363.9265442404007,36
demand35,Elastic Net Fishing Supplies,437.66359729895646,354.61101836393993,21
demand41,K-Fold Parking Validation,233.89686924493554,480.68113522537567,14
demand43,Bag of Words Designer Handbags,87.90546347452425,481.9232053422371,8
demand44,Bias & Variance Courthouse,193.82688766114182,446.52420701168614,26
demand46,Lagrange Boulangerie,104.98956414978515,419.1986644407346,31
demand48,Cutting Plane Woodworks,392.0024554941682,256.17696160267116,22
demand51,Farkas' Lemma-nade,391.38121546961327,186,35
