index,x,y
truck5,444,112.5
truck10,336.71209330877844,130.1068447412354
truck16,298.50583179864947,205.56260434056762
truck18,364.6678944137508,222.64106844741238
truck21,438.59545733578886,147.80634390651085
truck22,356.2811540822591,145.63272120200335
truck23,128.59668508287294,263.9398998330551
truck25,23.607120933087785,338.1535893155259
truck26,121.14180478821363,337.2220367278798
truck27,173.94720687538367,340.3272120200334
truck29,296.0208717004297,350.8848080133556
truck30,332.05279312461636,352.12687813021705
truck33,393.24493554327813,377.2787979966611
truck34,337.9545733578883,395.28881469115197
truck35,288.8766114180479,385.35225375626044
truck38,112.44444444444444,397.7729549248748
truck43,290.42971147943524,506.7646076794658
truck53,209.35788827501537,280.0868113522538
truck54,320.5598526703499,273.5659432387312
truck47,296.3314917127072,323.559265442404
