index,x,y
truck2,237.31368937998772,55.272120200333895
truck3,338.57581338244324,42.230383973288816
truck7,113.0656844689994,131.03839732888147
truck8,164.62860650705954,130.41736227045075
truck9,218.6764886433395,145.63272120200335
truck10,336.71209330877844,130.1068447412354
truck11,323.9766728054021,109.61268781302171
truck12,224.57826887661142,93.7762938230384
truck13,102.50460405156538,208.35726210350586
truck14,150.65070595457337,222.64106844741238
truck15,210.60036832412524,207.11519198664442
truck16,298.50583179864947,205.56260434056762
truck17,310.62001227747083,222.02003338898166
truck19,431.1405770411296,207.11519198664442
truck22,356.2811540822591,145.63272120200335
truck25,23.607120933087785,338.1535893155259
truck27,173.94720687538367,340.3272120200334
truck28,224.88888888888889,335.97996661101837
truck38,112.44444444444444,397.7729549248748
truck40,118.65684468999386,479.4390651085142
truck53,209.35788827501537,280.0868113522538
truck54,320.5598526703499,273.5659432387312
truck47,296.3314917127072,323.559265442404
