index,name,x,y,demand
demand0,Pipe Benders,95.67096378146103,83.52921535893155,10
demand11,Reinforcement Learning Puppy Training,284.83855125844076,188.79465776293824,45
demand12,KKT Air Conditioning,256.57213014119094,158.0534223706177,50
demand15,MILP Mart,176.7427869858809,186.93155258764608,20
demand16,Rothberg Tower,129.21792510742787,168.6110183639399,45
demand18,Callback Cat Café,187.6144874155924,222.64106844741238,45
demand19,Toy Problems 'ᴙ' Us,152.2038060159607,245.30884808013357,15
demand20,Complex Complex,239.48802946593003,246.86143572621037,45
demand22,Vertex Tower,342.92449355432785,231.3355592654424,35
demand23,Anna Konda's Pet Shop,395.4192756292204,220.77796327212022,40
demand25,Fourier Transform Towers,460.96009821976673,302.13355592654426,25
demand31,Edgeworth's Newsvendors,72.68508287292818,359.889816360601,40
demand32,Convex Amphitheater,190.41006752608965,367.652754590985,30
demand35,Elastic Net Fishing Supplies,437.66359729895646,354.61101836393993,15
demand38,Multi-Threads Thrift Store,416.23081645181094,442.7979966611019,40
demand41,K-Fold Parking Validation,233.89686924493554,480.68113522537567,5
demand49,Big-M Market,241.9729895641498,421.68280467445743,40
demand51,Farkas' Lemma-nade,391.38121546961327,186,30
